case_id,amount,transaction_age_days,payment_method,account_age_days,previous_orders,previous_chargebacks,previous_refunds,device_seen_before,location_consistent,velocity_24h,delivered,delivery_confirmed,delivery_age_days,customer_contacted,merchant_response_time_hours,refund_requested,dispute_type,dispute_text
CB-00001,2637.76,4,card,1068,8,0,1,True,True,1,True,True,13,True,7.4,True,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The customer mentions asking for their money back. They report that they tried to resolve this with the seller. The order appears in their account history.
CB-00002,1557.34,49,wallet,768,18,1,0,True,True,3,True,True,21,False,3.6,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The merchant claims there is delivery confirmation. The order appears in their account history.
CB-00003,1473.51,7,wallet,761,19,0,2,False,True,3,True,True,19,False,1.4,False,PRODUCT_NOT_AS_DESCRIBED,Buyer claims the item did not match the description. They refer to the original order.
CB-00004,2838.63,25,upi,1193,11,0,1,True,True,2,True,True,29,False,12.1,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received. The seller says delivery was confirmed. The order appears in their account history.
CB-00005,3496.24,53,wallet,978,14,0,0,True,True,6,True,True,16,True,11.3,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. The customer says they previously contacted support.
CB-00006,1098.47,17,wallet,877,12,2,3,True,True,6,True,True,25,False,14.5,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. The seller says delivery was confirmed.
CB-00007,13200.23,74,netbanking,565,17,0,0,True,False,3,True,True,23,False,25.6,False,PRODUCT_NOT_AS_DESCRIBED,Buyer claims the item did not match the description. The merchant claims there is delivery confirmation.
CB-00008,2298.69,93,card,777,7,0,2,True,True,6,True,True,20,True,15.0,True,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. The dispute was filed after the expected delivery period. The customer mentions asking for their money back. They mention contacting the merchant.
CB-00009,2220.13,46,upi,965,10,1,3,True,True,1,True,True,18,False,6.9,False,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them.
CB-00010,477.42,64,upi,832,4,0,4,True,True,2,False,False,0,True,5.4,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. They mention contacting the merchant.
CB-00011,2887.28,13,wallet,1025,16,0,2,True,True,3,True,False,25,False,15.0,False,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them.
CB-00012,7042.09,82,upi,1235,12,0,2,True,True,0,True,True,17,False,2.3,False,PRODUCT_NOT_AS_DESCRIBED,Customer disputes the purchase because the product was not as expected.
CB-00013,4503.32,18,card,895,10,0,0,True,True,2,True,True,28,True,31.5,False,ITEM_NOT_RECEIVED,The buyer says they are still waiting for the delivery. The customer says they previously contacted support. The order appears in their account history.
CB-00014,757.12,11,wallet,838,9,0,2,True,True,3,True,True,28,False,55.3,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received.
CB-00015,3876.76,36,netbanking,955,14,1,0,True,True,1,True,True,14,False,14.9,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The dispute was filed after the expected delivery period.
CB-00016,1408.56,37,wallet,870,12,0,3,True,True,3,True,True,22,False,14.5,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. The order appears in their account history.
CB-00017,1796.88,12,card,855,16,0,1,True,True,2,True,True,19,False,15.0,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. The order appears in their account history.
CB-00018,2293.89,50,card,750,10,0,1,True,False,1,True,True,19,True,4.9,True,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. The customer mentions asking for their money back. The customer says they previously contacted support.
CB-00019,1463.58,59,card,411,11,0,0,False,False,2,True,True,19,False,6.5,False,PRODUCT_NOT_AS_DESCRIBED,Customer disputes the purchase because the product was not as expected. The seller says delivery was confirmed.
CB-00020,8264.53,17,upi,1121,12,0,1,True,True,3,False,False,0,False,13.1,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction.
CB-00021,2665.73,47,netbanking,735,19,0,1,True,True,0,True,True,26,False,5.7,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The seller says delivery was confirmed.
CB-00022,3740.69,17,upi,707,14,0,1,False,True,1,False,False,0,False,25.2,False,PRODUCT_NOT_AS_DESCRIBED,Buyer claims the item did not match the description.
CB-00023,3203.46,30,upi,674,10,1,5,True,True,6,True,True,20,True,6.3,True,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. The order appears in their account history. They report that they tried to resolve this with the seller. The customer mentions asking for their money back.
CB-00024,5366.74,19,upi,662,14,1,0,True,True,1,True,True,26,False,28.6,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. They refer to the original order.
CB-00025,2982.23,40,upi,1102,14,0,2,True,True,2,True,True,30,False,14.0,False,PRODUCT_NOT_AS_DESCRIBED,Buyer claims the item did not match the description.
CB-00026,1446.67,33,netbanking,851,15,0,0,False,True,2,True,True,9,True,29.4,True,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received. They mention contacting the merchant. The seller says delivery was confirmed. They say they requested a refund.
CB-00027,3562.63,57,upi,1201,14,0,1,True,True,2,True,True,25,False,8.4,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The order appears in their account history.
CB-00028,1037.94,21,upi,1045,8,0,2,False,True,5,True,True,28,False,34.4,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. The merchant claims there is delivery confirmation. The dispute was filed after the expected delivery period.
CB-00029,1813.8,6,card,1078,12,0,1,False,True,5,True,True,29,False,18.4,False,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. They refer to the original order. The merchant claims there is delivery confirmation.
CB-00030,684.91,21,wallet,939,11,0,0,True,True,1,True,True,12,False,31.7,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received. The order appears in their account history.
CB-00031,455.1,120,wallet,1123,10,1,1,False,True,7,True,False,18,False,5.1,False,UNAUTHORIZED_TRANSACTION,The buyer says they do not recognize this transaction. The dispute was filed after the expected delivery period.
CB-00032,843.61,6,card,759,10,0,0,True,True,4,True,True,9,False,3.9,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. They refer to the original order.
CB-00033,4380.64,6,upi,757,7,1,2,True,True,4,True,False,13,False,12.5,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. They refer to the original order.
CB-00034,2273.49,23,wallet,628,11,0,1,True,True,5,True,True,21,True,5.0,True,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The customer mentions asking for their money back. The merchant claims there is delivery confirmation. The order appears in their account history. The customer says they previously contacted support.
CB-00035,2497.97,8,upi,1261,13,0,1,True,True,6,True,True,17,False,21.1,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The seller says delivery was confirmed. They refer to the original order.
CB-00036,1929.45,14,wallet,588,12,0,0,True,True,4,True,True,25,True,4.6,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. They refer to the original order. The seller says delivery was confirmed. The customer says they previously contacted support.
CB-00037,1504.0,10,upi,1005,16,0,1,True,True,2,True,True,28,False,5.4,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment.
CB-00038,2058.96,45,netbanking,990,13,0,1,True,True,1,True,True,22,True,4.1,True,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The customer mentions asking for their money back. They mention contacting the merchant.
CB-00039,6554.63,72,card,1042,9,1,0,True,True,2,True,True,27,False,4.1,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The order appears in their account history.
CB-00040,12351.34,49,wallet,1038,15,0,1,True,True,2,True,True,9,False,21.3,False,ITEM_NOT_RECEIVED,Customer says the order never arrived.
CB-00041,1761.99,63,card,1288,14,1,2,True,True,5,True,True,24,False,10.9,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The dispute was filed after the expected delivery period.
CB-00042,665.26,20,netbanking,1000,13,0,0,True,True,3,True,True,28,False,32.0,False,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. The seller says delivery was confirmed.
CB-00043,1479.45,10,upi,855,7,2,0,False,True,0,True,True,25,True,6.2,True,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them. The customer mentions asking for their money back. The customer says they previously contacted support.
CB-00044,681.18,24,card,780,13,0,2,True,False,2,True,True,31,False,18.4,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment.
CB-00045,2636.33,24,netbanking,1020,15,0,1,True,True,4,True,True,25,False,15.3,False,ITEM_NOT_RECEIVED,Customer says the order never arrived. The merchant claims there is delivery confirmation.
CB-00046,5514.09,13,netbanking,971,11,0,0,False,True,5,True,True,30,False,4.2,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment.
CB-00047,3018.38,36,card,901,17,1,0,True,True,1,True,True,21,True,9.1,False,PRODUCT_NOT_AS_DESCRIBED,Buyer claims the item did not match the description. The order appears in their account history. The customer says they previously contacted support.
CB-00048,16512.34,16,netbanking,576,12,0,2,True,True,4,True,True,19,True,14.0,True,UNAUTHORIZED_TRANSACTION,Buyer disputes the transaction as unauthorized. They report that they tried to resolve this with the seller. The customer mentions asking for their money back. The dispute was filed after the expected delivery period.
CB-00049,2691.11,50,card,951,9,0,0,True,False,6,True,True,29,True,24.6,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. The seller says delivery was confirmed. They refer to the original order. They report that they tried to resolve this with the seller.
CB-00050,1258.44,25,wallet,832,12,0,0,True,True,6,True,False,28,False,9.8,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received.
CB-00051,1202.08,6,card,1196,16,0,0,True,False,1,True,True,21,False,43.1,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received.
CB-00052,3855.07,23,upi,732,13,2,1,True,True,0,True,True,23,False,17.4,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different. They refer to the original order. The merchant claims there is delivery confirmation.
CB-00053,2725.42,34,upi,1034,9,2,4,True,True,2,False,False,0,True,7.8,True,ITEM_NOT_RECEIVED,Customer says the order never arrived. The customer mentions asking for their money back. The customer says they previously contacted support.
CB-00054,531.66,29,upi,1141,14,0,1,True,True,4,True,True,20,False,12.6,False,ITEM_NOT_RECEIVED,Customer disputes the transaction claiming the package was not received. The seller says delivery was confirmed.
CB-00055,1306.59,19,upi,608,4,0,2,True,True,6,False,False,0,True,12.1,False,UNAUTHORIZED_TRANSACTION,Customer claims the card payment was not made by them. They mention contacting the merchant.
CB-00056,5555.56,20,card,1082,14,0,1,True,True,4,True,True,17,False,5.9,False,PRODUCT_NOT_AS_DESCRIBED,The buyer says the delivered product was materially different.
CB-00057,2408.55,64,upi,1048,8,0,0,True,True,2,True,True,29,False,13.8,False,ITEM_NOT_RECEIVED,Customer reports that the shipment was not received. The order appears in their account history. The merchant claims there is delivery confirmation.
CB-00058,3196.71,51,netbanking,765,13,0,0,False,True,0,True,True,27,False,5.0,False,UNAUTHORIZED_TRANSACTION,Customer says they did not authorize this payment. The seller says delivery was confirmed.
CB-00059,2280.58,32,netbanking,1230,6,1,6,True,True,2,True,True,17,False,11.9,False,PRODUCT_NOT_AS_DESCRIBED,Customer says the product received was different from the listing. The seller says delivery was confirmed. They refer to the original order.
CB-00060,3418.69,15,wallet,1013,10,0,0,False,True,1,True,True,24,True,10.3,False,ITEM_NOT_RECEIVED,The buyer says they are still waiting for the delivery. They report that they tried to resolve this with the seller. The merchant claims there is delivery confirmation.
