case_id,split
CB-00001,train
CB-00002,train
CB-00003,train
CB-00004,test
CB-00005,validation
CB-00006,train
CB-00007,test
CB-00008,validation
CB-00009,train
CB-00010,train
CB-00011,train
CB-00012,train
CB-00013,test
CB-00014,train
CB-00015,train
CB-00016,test
CB-00017,validation
CB-00018,train
CB-00019,train
CB-00020,train
CB-00021,validation
CB-00022,train
CB-00023,train
CB-00024,validation
CB-00025,train
CB-00026,train
CB-00027,train
CB-00028,test
CB-00029,test
CB-00030,train
CB-00031,validation
CB-00032,validation
CB-00033,test
CB-00034,validation
CB-00035,train
CB-00036,test
CB-00037,train
CB-00038,train
CB-00039,test
CB-00040,validation
CB-00041,train
CB-00042,test
CB-00043,test
CB-00044,validation
CB-00045,validation
CB-00046,validation
CB-00047,validation
CB-00048,train
CB-00049,train
CB-00050,test
CB-00051,test
CB-00052,test
CB-00053,test
CB-00054,train
CB-00055,train
CB-00056,train
CB-00057,test
CB-00058,test
CB-00059,validation
CB-00060,validation
CB-00061,test
CB-00062,test
CB-00063,train
CB-00064,test
CB-00065,train
CB-00066,train
CB-00067,train
CB-00068,test
CB-00069,train
CB-00070,test
CB-00071,train
CB-00072,train
CB-00073,validation
CB-00074,validation
CB-00075,train
CB-00076,test
CB-00077,train
CB-00078,train
CB-00079,train
CB-00080,train
CB-00081,train
CB-00082,train
CB-00083,test
CB-00084,train
CB-00085,train
CB-00086,validation
CB-00087,train
CB-00088,validation
CB-00089,test
CB-00090,train
CB-00091,train
CB-00092,train
CB-00093,train
CB-00094,test
CB-00095,train
CB-00096,test
CB-00097,train
CB-00098,train
CB-00099,train
CB-00100,validation
CB-00101,train
CB-00102,train
CB-00103,train
CB-00104,test
CB-00105,train
CB-00106,validation
CB-00107,validation
CB-00108,validation
CB-00109,validation
CB-00110,validation
CB-00111,test
CB-00112,validation
CB-00113,test
CB-00114,validation
CB-00115,validation
CB-00116,train
CB-00117,train
CB-00118,train
CB-00119,train
CB-00120,validation
CB-00121,train
CB-00122,train
CB-00123,train
CB-00124,train
CB-00125,train
CB-00126,test
CB-00127,validation
CB-00128,train
CB-00129,train
CB-00130,validation
CB-00131,train
CB-00132,train
CB-00133,test
CB-00134,train
CB-00135,train
CB-00136,validation
CB-00137,validation
CB-00138,train
CB-00139,test
CB-00140,train
CB-00141,train
CB-00142,test
CB-00143,validation
CB-00144,train
CB-00145,validation
CB-00146,test
CB-00147,validation
CB-00148,train
CB-00149,train
CB-00150,train
CB-00151,validation
CB-00152,train
CB-00153,train
CB-00154,train
CB-00155,train
CB-00156,validation
CB-00157,validation
CB-00158,train
CB-00159,train
CB-00160,test
CB-00161,test
CB-00162,validation
CB-00163,train
CB-00164,train
CB-00165,test
CB-00166,train
CB-00167,train
CB-00168,validation
CB-00169,train
CB-00170,train
CB-00171,test
CB-00172,test
CB-00173,train
CB-00174,test
CB-00175,train
CB-00176,test
CB-00177,validation
CB-00178,train
CB-00179,validation
CB-00180,train
CB-00181,train
CB-00182,train
CB-00183,train
CB-00184,validation
CB-00185,train
CB-00186,validation
CB-00187,test
CB-00188,test
CB-00189,train
CB-00190,test
CB-00191,train
CB-00192,train
CB-00193,train
CB-00194,train
CB-00195,train
CB-00196,test
CB-00197,validation
CB-00198,train
CB-00199,test
CB-00200,validation
CB-00201,train
CB-00202,test
CB-00203,train
CB-00204,train
CB-00205,test
CB-00206,train
CB-00207,train
CB-00208,train
CB-00209,validation
CB-00210,test
CB-00211,train
CB-00212,test
CB-00213,validation
CB-00214,train
CB-00215,train
CB-00216,train
CB-00217,train
CB-00218,train
CB-00219,train
CB-00220,train
CB-00221,train
CB-00222,test
